Name,Department,Specialization,Profile Link
Dr  SUVARDHAN K,CHEMISTRY,ElectroAnalytical Chemistry,https://christuniversity.in/Chemistry/faculty-details/NjY1OA==/MTc=
Dr  SWEETY,DATA SCIENCE (Lavasa),Statistics,https://christuniversity.in/Computer Science/faculty-details/NjY5Mw==/NjI=
Dr  TEENA JOSE,COMPUTER SCIENCE (YESHWANTHPUR),Computer Science,https://christuniversity.in/Computer Science/faculty-details/NTkzMg==/ODA0
Dr  TEGIL J JOHN,COMPUTER SCIENCE,Computer Science,https://christuniversity.in/Computer Science/faculty-details/ODQyMQ==/NjI=
Dr  THIRUNAVUKKARASU V,COMPUTER SCIENCE,Computer Science,https://christuniversity.in/Computer Science/faculty-details/NjAzOQ==/NjI=
Dr  THOMAS C MATHEW,CHEMISTRY,Education,https://christuniversity.in/Chemistry/faculty-details/NzE=/MTc=
THOMAS K T,DATA SCIENCE (Lavasa),Computer Science,https://christuniversity.in/Computer Science/faculty-details/NDc5NQ==/NjI=
Dr  THONTADARI C,COMPUTER SCIENCE (YESHWANTHPUR),Image Processing,https://christuniversity.in/Computer Science/faculty-details/ODUzOQ==/ODA0
Dr  THRIVENI K,MATHEMATICS (YESHWANTHPUR),Mathematics,https://christuniversity.in/Mathematics/faculty-details/NzA2OA==/ODAy
Dr  TINU THOMAS,LIFE SCIENCES,Plant Molecular Physiology,https://christuniversity.in/Life Sciences/faculty-details/ODM5Mw==/NjA=
Dr  TINY S PALATHARA,DATA SCIENCE (Lavasa),Economics,https://christuniversity.in/Computer Science/faculty-details/NjY0Ng==/NjI=
Dr  TULASI B,STATISTICS AND DATA SCIENCE,Computer Science,https://christuniversity.in/statistics_and _data_science/faculty-details/MTgy/OTEy
Dr  UMAMAHESWARI D,COMPUTER SCIENCE (YESHWANTHPUR),Machine Learning,https://christuniversity.in/Computer Science/faculty-details/ODU5MA==/ODA0
Dr  UMMESALMA M,STATISTICS AND DATA SCIENCE,Data Mining and Knowledge Discovery,https://christuniversity.in/statistics_and _data_science/faculty-details/MjQ1OQ==/OTEy
Dr  VAIDHEHI V,COMPUTER SCIENCE,Computer Science,https://christuniversity.in/Computer Science/faculty-details/MzA0/NjI=
Dr  VANDANA VIJAY BHAGAT,DATA SCIENCE (Lavasa),Computer Science,https://christuniversity.in/Computer Science/faculty-details/NDA0OA==/NjI=
Dr  VASANTHA V L,LIFE SCIENCES,Microbiology,https://christuniversity.in/Life Sciences/faculty-details/MjMw/NjA=
Dr  VIJAY ARPUTHARAJ J,COMPUTER SCIENCE,Computer Science,https://christuniversity.in/Computer Science/faculty-details/NzAyNQ==/NjI=
Dr  VIJAYALAKSHMI A,STATISTICS AND DATA SCIENCE,Computer Science,https://christuniversity.in/statistics_and _data_science/faculty-details/MTky/OTEy
Dr  VIJAYALAKSHMI S,DATA SCIENCE (Lavasa),Computer Science,https://christuniversity.in/Computer Science/faculty-details/NTA0OQ==/NjI=
Dr  VIJAYASANKAR A V,CHEMISTRY,Catalysis,https://christuniversity.in/Chemistry/faculty-details/Nzk5/MTc=
Dr  VIJETH R SHETTY,CHEMISTRY,Chemistry,https://christuniversity.in/Chemistry/faculty-details/NzA0Ng==/MTc=
Dr  VINAY M,COMPUTER SCIENCE (YESHWANTHPUR),Computer Science,https://christuniversity.in/Computer Science/faculty-details/MTYx/ODA0
Dr  VINEETH V,PHYSICS AND ELECTRONICS,"Instrumentation, Xray optics",https://christuniversity.in/Physics and Electronics/faculty-details/Mjg4NQ==/MTg=
Dr  VINEETHA K R,COMPUTER SCIENCE,Computer Science,https://christuniversity.in/Computer Science/faculty-details/NjgxNA==/NjI=
Dr  VINOD T P,CHEMISTRY,Chemistry,https://christuniversity.in/Chemistry/faculty-details/Mjg4MQ==/MTc=
VYSHALI J GOGI,STATISTICS AND DATA SCIENCE,Data Mining in Healthcare,https://christuniversity.in/statistics_and _data_science/faculty-details/NzA1OQ==/OTEy
Dr  YAMUNA NAIR,CHEMISTRY,Chemistry,https://christuniversity.in/Chemistry/faculty-details/MjI4/MTc=
